title,description
Fazer um bolo,"Misture os ingredientes secos (farinha, açúcar, fermento em pó) em um recipiente. Em outro recipiente, misture os ingredientes úmidos (ovos, leite, óleo). Combine os ingredientes secos e úmidos até formar uma massa homogênea. Despeje a massa em uma forma untada e enfarinhada. Asse em forno pré-aquecido a 180°C por cerca de 30 minutos, ou até dourar."
Plantar uma árvore,"Escolha um local adequado para a árvore, considerando o tamanho adulto da espécie e a disponibilidade de luz solar. Cave um buraco maior que a raiz da árvore. Remova a terra das raízes e afofe o solo no buraco. Coloque a árvore no buraco e preencha com terra, pressionando firmemente ao redor da base. Regue abundantemente."
Fazer uma caminhada,"Escolha um trajeto adequado ao seu nível de condicionamento físico. Use roupas e calçados confortáveis. Leve água e lanches se necessário. Alongue-se antes e depois da caminhada. Beba bastante água antes, durante e depois da atividade."
Cozinhar um jantar,Escolha uma receita ou crie seu próprio prato. Reúna os ingredientes necessários. Prepare os ingredientes de acordo com as instruções da receita. Cozinhe os alimentos na ordem correta. Sirva o jantar com acompanhamentos e bebidas.
Organizar um armário,"Retire tudo do armário. Separe os itens por categoria (roupas, sapatos, acessórios). Doe ou descarte os itens que você não usa mais ou que estão em mau estado. Organize os itens restantes em prateleiras, gavetas ou cabides."
Limpar a casa,"Comece recolhendo o lixo e lavando a louça. Em seguida, limpe as superfícies empoeiradas com um pano úmido. Passe o aspirador ou vassoura no chão. Por fim, lave os banheiros e a cozinha."
Fazer compras no supermercado,Faça uma lista de compras com base nas suas necessidades. Compare os preços e escolha os produtos com a melhor relação custo-benefício. Verifique a data de validade dos produtos antes de comprá-los. Organize as compras nas sacolas e leve-as para casa.
Praticar um esporte,"Escolha um esporte que você goste e que seja adequado ao seu nível de condicionamento físico. Alongue-se antes de praticar o esporte. Siga as regras do jogo e jogue com segurança. Beba bastante água antes, durante e depois da atividade."
Ler um livro,Escolha um livro que te interesse. Encontre um lugar tranquilo e confortável para ler. Leia com atenção e concentração. Faça pausas para descansar os olhos e a mente. Anote suas reflexões sobre o livro em um caderno ou bloco de notas.
Aprender algo novo,"Escolha um assunto que você tenha interesse em aprender. Assista a vídeos, leia artigos ou livros, faça cursos online ou presenciais. Pratique o que você está aprendendo para consolidar o conhecimento. Compartilhe o que você aprendeu com outras pessoas."
